BUSINESS_NAME,PHONE,EMAIL,CITY,ADDRESS,REVIEWS,WEBSITE
City Electric Supply LLC,+1 201-216-0015,icirilli@cityelectricsupplyjc.com,Jersey City,"619 Grand St &, Johnston Ave, Jersey City, NJ 07304, United States",92,https://www.cityelectricsupplyjc.com/
R. Johnson Electric,+1 201-320-0611,Not found,,,3,
G-F Electric,+1 201-332-4928,Not found,Jersey City,"15 Yale Ave, Jersey City, NJ 07304, United States",1,
Welsbach Electric,+1 201-451-9100,Not found,Jersey City,"30 Montgomery St, Jersey City, NJ 07302, United States",1,http://www.welsbachelectric.com/
Brighton Electric,+1 609-385-0569,Not found,Jersey City,"345 Ocean Ave, Jersey City, NJ 07305, United States",2,http://www.brighton-electric.com/
CA Fleming Electric,+1 973-296-5508,Not found,,,18,
ND Electric LLC,+1 201-644-6263,info@ndelectricllc.com,,,21,https://www.ndelectricllc.com/
Shalom Electrical Services,+1 201-424-7624,Not found,Union City,"714 27th St, Union City, NJ 07087, United States",16,
Haddad Electric LLC,+1 201-438-4242,info@haddadelectricnj.com,Carlstadt,"300 Washington Ave #5, Carlstadt, NJ 07072, United States",50,https://www.haddadelectricnj.com/
Usa Eleryan International Electric Dr,+1 201-456-7556,holdupto400v@yahoo.com,Jersey City,"519 Mercer St, Jersey City, NJ 07306, United States",,https://usa-eleryan-international-electric-dr.ueniweb.com/?utm_campaign=gmb
"HVCS Electrical Services, Llc",+1 973-960-9079,hvcselectrical@hotmail.com,,,42,http://www.hvcselectricalservicesllc.com/
Smart Solutions Contractors,+1 201-904-6128,Not found,Jersey City,"315 3rd St, Jersey City, NJ 07302, United States",34,http://www.smartsolutionsnj.com/
"JEWEL ELECTRIC SUPPLY, LLC.",+1 201-653-1613,Error,Jersey City,"133 Halleck Ave, Jersey City, NJ 07306, United States",40,http://www.jewelelectric.com/
Brother arce llc,+1 201-988-8686,Not found,Jersey City,"538 Liberty Ave, Jersey City, NJ 07307, United States",,
Ochs Service Inc.,+1 201-333-3404,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Jersey City,"170 Culver Ave, Jersey City, NJ 07305, United States",4,http://www.ochsservice.com/
Nickel Electric Inc.,+1 201-865-0053,Not found,,,1,http://www.nickelelectric.net/
Bright Electrical,+1 201-443-9900,Not found,,,25,
mka electric construction,,Not found,Jersey City,"421B Virginia Ave, Jersey City, NJ 07304, United States",,
Michael Harmon Electric,+1 201-433-2856,Not found,Jersey City,"225 Arlington Ave, Jersey City, NJ 07305, United States",1,
Beni Electric LLC,+1 201-463-3356,Not found,Bayonne,"4 Marina Dr, Bayonne, NJ 07002, United States",43,http://benillc.com/
Bm home improvement llc,+1 551-556-0993,Not found,,,6,
Burkina Electric / John J Construction,+1 629-200-4353,Not found,Jersey City,"201 Ogden Ave., Jersey City, NJ 07307, United States",,https://www.instagram.com/burkina_electric_jj_cons
KB Electric Inc,+1 973-744-6201,kbelectric123@gmail.com,Bloomfield,"78-80 Broughton Ave, Bloomfield, NJ 07003, United States",112,http://kbelectricnj.com/
21contracting,+1 866-611-3708,call21pros@gmail.com,Jersey City,"56 Bergen Ave, Jersey City, NJ 07305, United States",2,http://call21pros.com/
Mangi Electrical Corp,+1 718-698-4040,josephmangi44@yahoo.com,,,52,https://mangielectricalcorp.com/
SHOWTIME CONSTRUCTION ONE LLC,+1 201-736-4633,Not found,Jersey City,"226 Grand St, Jersey City, NJ 07305, United States",5,
RSC Handyman works LLC,+1 551-216-5796,Not found,Jersey City,"144 Wilkinson Ave, Jersey City, NJ 07305, United States",14,http://rschomeimprovements.com/
"Jason Klein Electrical Contractor, LLC",+1 908-391-4305,jason@jkleinelectric.com,Chatham Township,"23 Canterbury Rd Apt D, Chatham Township, NJ 07928, United States",404,https://www.jkleinelectric.com/
Globus Electric Inc,+1 201-653-1505,info@globuselectric.com,Jersey City,"Jersey City, NJ 07306, United States",,https://www.globuselectric.com/
A-1 Industrial Electric Co Inc,+1 201-435-6630,Not found,Jersey City,"329 Sip Ave, Jersey City, NJ 07306, United States",,
Xpert Electric,+1 201-314-8688,Not found,,,421,https://callxe.com/?utm_source=gbp&utm_medium=organic
Kemetic Energy Electric LLC,+1 551-263-2803,Courthymes@kemeticenergies.com,,,1,https://www.kemeticenergies.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=983362524245722287
Jersey City Painters & Handyman - Fast Site Solutions,+1 551-227-0952,inquiries@fastsitesolutions.us,,,35,https://fastsitesolutions.us/
Alpha Electrical Services LLC,+1 201-744-6431,alphaelectricalservicesllc@gmail.com,Weehawken Township,"105 Jefferson St, Weehawken Township, NJ 07086, United States",15,https://www.alphaelectricalservices.us/contact-us
Carrasco Electric,+1 201-334-2585,Not found,,,16,https://carrascoelectricco.com/
"Concepcion Electric, LLC",,Not found,,,1,http://www.concepcionelectric.com/
Jimenez Emergency Electrical Service,+1 551-529-0115,Not found,,,2,
GS ELECTRIC,+1 973-262-5394,Not found,,,13,https://www.instagram.com/gselectric23?igsh=MXBha2Nnc29qY2ZxbQ==
William J. Guarini Inc.,+1 201-754-1095,Not found,Jersey City,"430 Danforth Ave, Jersey City, NJ 07305, United States",117,https://www.guariniplumbing.com/
FES Electric,+1 973-878-6111,f.electricalservicesnj@gmail.com,Linden,"212 W Price St, Linden, NJ 07036, United States",195,https://felectricalservices.com/
New York City Electricians,+1 646-340-9882,impallari@gmail.com,New York,"50 St Marks Pl, New York, NY 10003, United States",45,https://newyorkcityelectricianss.com/
M V Electrical Contractors,+1 201-659-3304,Not found,Hoboken,"256 9th St, Hoboken, NJ 07030, United States",,http://mvelectricalcontractors.com/
Jetco Electrical Contractors,+1 315-254-2578,jetcoelectrical@gmail.com,,,33,http://jetcoelectrical.com/
First Class Electric,+1 908-325-1777,info@firstclasselectricnj.com,Cranford,"619 Raritan Rd, Cranford, NJ 07016, United States",379,https://www.firstclasselectricnj.com/
K&C ELECTRIC & SECURITY LLC,+1 201-203-1881,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Union City,"316 26th St, Union City, NJ 07087, United States",2,https://www.kcelectricsecurity.com/
Jer Electric,+1 212-764-9244,Not found,New York,"530 Fashion Ave, New York, NY 10018, United States",4,
S & S Electrical Contractors,+1 973-417-2011,Error,,,8,https://sscontractingco.com/
Linx Electrical,+1 201-640-4956,Not found,,,,
West Orange Electricians,+1 908-858-7880,Not found,,,2,
Axion Electric,+1 201-414-0392,Not found,,,1,
Mida Electrical Contractor,+1 908-416-4065,Not found,,,23,
Electrician Now,+1 347-515-4260,Gary@electrician-now.nyc,,,10,https://nextdoor.com/pages/electrician-now-hoboken-nj?init_source=org_pages&utm_campaign=1704169195282
Staten Island Electric and Handyman,+1 917-856-9795,Not found,,,8,https://www.homeadvisor.com/rated.EZElectricGeneral.127697872.html
Aeromark Mechanical Inc,+1 973-381-7653,Not found,Jersey City,"153 Morgan St, Jersey City, NJ 07302, United States",161,https://aeromarknj.com/
"Spark Electric, LLC",+1 908-296-3378,Not found,,,7,http://www.sparkelectricllc.com/
Anton Plumbing Heating & Cooling,+1 201-293-8809,Not found,Jersey City,"60 Christopher Columbus Dr, Jersey City, NJ 07302, United States",19,https://antonplumbinghvac.com/?utm_source=organic&utm_medium=gbp_listing_jersey_city
Thompkins & Associates General Contractors LLC,+1 201-275-7129,Not found,,,4,
M&A Plumbing & Heating,+1 551-208-8366,Not found,Jersey City,"257 Dwight St, Jersey City, NJ 07305, United States",54,https://business.google.com/v/m-a-plumbing-heating/0322610284500796106/8434/_?
Power-Up Electrical General Solutions,+1 856-278-6073,powerup.egs@gmail.com,,,1,https://pupelectrical.wordpress.com/
Tim Golden Hands,+1 707-518-6157,Not found,Jersey City,"74 Maple St APT 408, Jersey City, NJ 07304, United States",33,
Supreme Power LLC - Electrical Service & Repair,+1 347-533-2479,Not found,,,18,https://wa.me/13475332479
RAM Electrical Maintenance,+1 646-732-2734,Not found,,,,
Bargotti Co. Plumbing & Hvac,+1 201-301-4121,info@BargottiHVAC.com,Jersey City,"41 Tonnelle Ave, Jersey City, NJ 07306, United States",50,https://bargottihvac.com/contact-bargotti-hvac/
Air Group,+1 973-929-2080,Not found,Whippany,"1 Prince Rd, Whippany, NJ 07981, United States",2,https://airgroupllc.com/?utm_source=google&utm_medium=local&utm_campaign=gmb
Home Services at The Home Depot,+1 844-476-2140,Not found,Jersey City,"180 12th St, Jersey City, NJ 07310, United States",21,https://www.homedepot.com/l/Jersey-City-NJ/NJ/Jersey-City/07310/6845/services?emt=HSGMBGoogleMaps
elektraservicesje,+1 347-569-9341,soporte@webador.es,,,,https://www.elektraservicesje.es/
AT Electric LLC,+1 973-666-1234,Not found,,,12,
Brown Home Improvement LLC,+1 551-232-6674,Not found,Jersey City,"504 West Side Ave #24217, Jersey City, NJ 07304, United States",1,
Toth Electric,+1 973-996-4696,info@tothelectricllc.com,Mountainside,"1008 Springfield Ave, Mountainside, NJ 07092, United States",483,http://tothelectricllc.com/
DSE Electrical Service LLC,+1 973-819-5639,Not found,,,3,
NY NJ Sky Electric,+1 973-661-2100,Error,,,1,http://www.nynjsky.com/
Chroma Electrical Services,+1 917-741-8756,info@chromaelectricalservices.com,,,2,https://chromaelectricalservices.com/
Eco Plumbing Heating & Air Conditioning,+1 201-425-6537,Not found,,,37,https://www.ecoplumbinghvac.com/service-area/jersey-city-nj-plumbing-heating-and-air-conditioning/
Muguerza Electrical Contractor LLC,+1 201-951-2144,Not found,,,,
Royal Heating Corporation,+1 201-434-0315,chris@royalheatingandcooling.com,Jersey City,"10 Martin Luther King Dr, Jersey City, NJ 07305, United States",26,https://www.royalheatingandcooling.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile
Geronimo Electrical Contractors Inc.,+1 800-517-0336,Not found,,,6,http://www.geronimoelectric.com/
Recommended Plumbing,+1 201-988-5789,contact@sansoxygen.com,Jersey City,"53 Hancock Ave, Jersey City, NJ 07307, United States",11,http://www.recommendedplumbing.com/
Home Services at The Home Depot,+1 844-476-2140,Not found,Jersey City,"440 NJ-440, Jersey City, NJ 07305, United States",8,https://www.homedepot.com/l/Jersey-City/NJ/Jersey-City/07305/935/services?emt=HSGMBGoogleMaps
Aladdin Plumbing & Mechanical,+1 201-664-7466,Not found,Jersey City,"729 Bergen Ave, Jersey City, NJ 07306, United States",49,http://www.aladdinplumbing.com/plumbers-jersey-city-nj/
Aon Electrical,+1 973-809-8982,aonelectrical@gmail.com,,,2,https://aonelectrical.com/
Ebanks Electrical Services,+1 973-517-0028,ebankselec120v@gmail.com,,,19,http://ebankselectricalservices.com/
Gabe Ambrozia & Sons,+1 201-332-4611,Not found,Jersey City,"264 Kearney Ave, Jersey City, NJ 07305, United States",23,
Delgado Refrigeration,+1 201-209-0986,Not found,Jersey City,"128 Monticello Ave, Jersey City, NJ 07304, United States",19,
Zoom Drain,+1 201-588-3355,Not found,Jersey City,"152 Stevens Ave, Jersey City, NJ 07305, United States",810,https://www.zoomdrain.com/north-jersey?utm_source=Google&utm_medium=GBP
Lou Guarini Plumbing & Heating,+1 201-333-5314,louguarini@louguarini.com,Jersey City,"215 Harrison Ave, Jersey City, NJ 07304, United States",8,http://jerseycityplumbers.com/
"Home Pros GCEP, LLC",+1 201-660-9300,Not found,,,1,
Best Way Electric Co Inc,+1 201-673-1113,Not found,Jersey City,"82 Sterling Ave, Jersey City, NJ 07305, United States",,
